date,pm25,o3,no2,so2,co,aqi
5/22/2017,62,11,17,12,0,0
5/23/2017,72,13,18,11,0,0
5/24/2017,64,13,17,11,0,0
5/25/2017,65,14,21,11,0,0
5/26/2017,76,14,24,11,0,0
5/27/2017,123,15,27,12,0,0
5/28/2017,149,19,28,12,0,0
5/29/2017,154,0,0,0,0,0
5/30/2017,103,15,18,13,0,0
5/31/2017,103,16,14,14,0,0
6/1/2017,83,17,14,16,0,0
6/2/2017,97,18,14,17,0,0
6/3/2017,81,21,14,17,0,0
6/4/2017,82,20,14,17,0,0
6/5/2017,91,13,13,14,0,0
6/6/2017,80,14,13,12,0,0
6/7/2017,59,14,12,13,0,0
6/8/2017,80,13,10,13,0,0
6/9/2017,52,15,11,13,0,0
6/10/2017,48,0,0,0,0,0
6/11/2017,78,15,13,14,0,0
6/12/2017,88,15,14,13,0,0
6/13/2017,74,15,9,13,0,0
6/14/2017,84,15,11,14,0,0
6/15/2017,101,15,13,13,0,0
6/16/2017,133,14,10,12,0,0
6/17/2017,55,15,10,13,0,0
6/18/2017,87,14,10,13,0,0
6/19/2017,87,0,0,0,0,0
6/20/2017,87,14,13,13,0,0
6/21/2017,63,15,13,13,0,0
6/22/2017,47,17,10,14,0,0
6/23/2017,53,17,8,13,0,0
6/24/2017,53,17,10,13,0,0
6/25/2017,47,17,10,13,0,0
6/26/2017,58,18,8,15,0,0
6/27/2017,50,19,8,13,0,0
6/28/2017,49,19,9,13,0,0
6/29/2017,62,23,10,13,0,0
6/30/2017,54,21,11,14,0,0
7/1/2017,65,23,10,14,0,0
7/2/2017,72,23,10,14,0,0
7/3/2017,71,25,10,13,0,0
7/4/2017,68,26,8,13,0,0
7/5/2017,33,26,8,13,0,0
7/6/2017,33,26,9,13,0,0
7/7/2017,42,24,9,13,0,0
7/8/2017,36,34,8,13,0,0
7/9/2017,47,23,8,13,0,0
7/10/2017,68,22,8,13,0,0
7/11/2017,40,21,8,13,0,0
7/12/2017,30,21,8,13,0,0
7/13/2017,66,21,9,14,0,0
7/14/2017,34,21,8,13,0,0
7/15/2017,62,20,8,13,0,0
7/16/2017,57,22,7,13,0,0
7/17/2017,31,20,8,13,0,0
7/18/2017,60,22,8,13,0,0
7/19/2017,36,21,7,13,0,0
7/20/2017,36,20,8,13,0,0
7/21/2017,50,24,9,13,0,0
7/22/2017,88,18,10,14,0,0
7/23/2017,55,20,13,14,0,0
7/24/2017,111,18,7,13,0,0
7/25/2017,94,0,0,0,0,0
7/26/2017,85,0,0,0,0,0
7/27/2017,97,0,0,0,0,0
7/28/2017,106,0,0,0,0,0
7/29/2017,121,0,0,0,0,0
7/30/2017,119,0,0,0,0,0
7/31/2017,98,0,0,0,0,0
8/1/2017,71,0,0,0,0,0
8/2/2017,83,0,0,0,0,0
8/3/2017,109,0,0,0,0,0
8/4/2017,114,0,0,0,0,0
8/5/2017,81,0,0,0,0,0
8/6/2017,52,13,17,13,0,0
8/7/2017,51,19,12,15,0,0
8/8/2017,51,18,7,14,0,0
8/9/2017,53,0,0,0,0,0
8/10/2017,86,14,9,12,0,0
8/11/2017,77,19,9,13,0,0
8/12/2017,66,18,10,15,0,0
8/13/2017,78,18,10,15,0,0
8/14/2017,88,20,7,13,0,0
8/15/2017,57,19,8,14,0,0
8/16/2017,37,18,8,14,0,0
8/17/2017,50,18,8,13,0,0
8/18/2017,90,17,13,15,0,0
8/19/2017,114,0,0,0,0,0
8/20/2017,91,0,0,0,0,0
8/21/2017,71,16,2,15,0,0
8/22/2017,94,18,2,16,0,0
8/23/2017,130,498,3,15,0,0
8/24/2017,32,5,1,13,0,0
8/25/2017,41,0,0,14,0,0
8/26/2017,69,0,0,14,0,0
8/27/2017,66,0,0,14,0,0
8/28/2017,85,0,0,14,0,0
8/29/2017,37,0,0,14,0,0
8/30/2017,36,0,0,15,0,0
8/31/2017,112,0,0,15,0,0
9/1/2017,80,0,0,15,0,0
9/2/2017,59,0,0,14,0,0
9/3/2017,49,0,0,15,0,0
9/4/2017,96,0,0,15,0,0
9/5/2017,86,0,0,14,0,0
9/6/2017,61,0,0,0,0,0
9/7/2017,0,0,0,0,0,0
9/8/2017,0,0,0,15,0,0
9/9/2017,0,0,0,13,0,0
9/10/2017,0,0,0,0,0,0
9/11/2017,67,0,0,0,0,0
9/12/2017,135,0,0,0,0,0
9/13/2017,79,0,0,0,0,0
9/14/2017,80,0,0,0,0,0
9/15/2017,75,0,0,0,0,0
9/16/2017,64,0,0,0,0,0
9/17/2017,75,0,0,0,0,0
9/18/2017,119,0,0,13,0,0
9/19/2017,56,0,0,14,0,0
9/20/2017,47,0,0,13,0,0
9/21/2017,91,0,0,13,0,0
9/22/2017,108,0,0,0,0,0
9/23/2017,118,0,0,0,0,0
9/24/2017,133,0,0,13,0,0
9/25/2017,124,0,0,13,0,0
9/26/2017,45,0,0,13,0,0
9/27/2017,95,0,0,14,0,0
9/28/2017,105,0,0,14,0,0
9/29/2017,98,0,0,14,0,0
9/30/2017,92,0,0,13,0,0
10/1/2017,43,0,0,17,0,0
10/2/2017,78,0,0,13,0,0
10/3/2017,83,0,0,13,0,0
10/4/2017,73,0,0,13,0,0
10/5/2017,66,0,0,13,0,0
10/6/2017,86,0,0,13,0,0
10/7/2017,61,0,0,0,0,0
10/8/2017,64,0,0,0,0,0
10/9/2017,81,0,0,0,0,0
10/10/2017,58,0,0,13,0,0
10/11/2017,57,0,0,13,0,0
10/12/2017,85,0,0,13,0,0
10/13/2017,97,0,0,12,0,0
10/14/2017,88,0,0,14,0,0
10/15/2017,75,0,0,12,0,0
10/16/2017,57,0,0,12,0,0
10/17/2017,33,0,0,12,0,0
10/18/2017,42,0,0,13,0,0
10/19/2017,86,0,0,0,0,0
10/20/2017,115,0,0,0,0,0
10/21/2017,116,0,0,0,0,0
10/22/2017,118,0,0,14,0,0
10/23/2017,137,0,0,13,0,0
10/24/2017,147,0,0,14,0,0
10/25/2017,182,0,0,14,0,0
10/26/2017,195,0,0,13,0,0
10/27/2017,183,0,0,0,0,0
10/28/2017,186,0,0,0,0,0
10/29/2017,166,0,0,15,0,0
10/30/2017,150,0,0,13,0,0
10/31/2017,0,0,0,13,0,0
11/1/2017,0,0,0,13,0,0
11/2/2017,0,0,0,13,0,0
11/3/2017,0,0,0,14,0,0
11/4/2017,0,0,0,14,0,0
11/5/2017,0,0,0,13,0,0
11/6/2017,0,0,0,13,0,0
11/7/2017,0,0,0,13,0,0
11/8/2017,0,0,0,13,0,0
11/9/2017,0,0,0,13,0,0
11/10/2017,0,0,0,13,0,0
11/11/2017,0,0,0,13,0,0
11/12/2017,0,0,0,13,0,0
11/13/2017,148,0,0,13,0,0
11/14/2017,111,0,0,13,0,0
11/15/2017,102,0,0,16,0,0
11/16/2017,87,0,0,17,0,0
11/17/2017,69,0,0,15,0,0
11/18/2017,62,0,0,13,0,0
11/19/2017,62,0,0,13,0,0
11/20/2017,62,0,0,13,0,0
11/21/2017,98,0,0,13,0,0
11/22/2017,96,0,0,0,0,0
11/23/2017,86,0,0,13,0,0
11/24/2017,79,0,0,13,0,0
11/25/2017,79,0,0,13,0,0
11/26/2017,129,0,0,14,0,0
11/27/2017,171,0,0,13,0,0
11/28/2017,181,0,0,13,0,0
11/29/2017,193,0,0,13,0,0
11/30/2017,199,0,0,13,0,0
12/1/2017,122,0,0,13,0,0
12/2/2017,143,0,0,14,0,0
12/3/2017,181,0,0,13,0,0
12/4/2017,139,0,0,13,0,0
12/5/2017,106,0,0,13,0,0
12/6/2017,159,0,0,37,0,0
12/7/2017,180,0,0,36,0,0
12/8/2017,199,0,0,37,0,0
12/9/2017,0,0,0,36,0,0
12/10/2017,0,0,0,37,0,0
12/11/2017,0,0,0,35,0,0
12/12/2017,0,0,0,36,0,0
12/13/2017,0,0,0,35,0,0
12/14/2017,0,0,0,36,0,0
12/15/2017,0,0,0,36,0,0
12/16/2017,0,0,0,36,0,0
12/17/2017,0,0,0,38,0,0
12/18/2017,0,0,0,44,0,0
12/19/2017,130,0,0,46,0,0
12/20/2017,131,0,0,46,0,0
12/21/2017,151,0,0,52,0,0
12/22/2017,171,0,0,47,0,0
12/23/2017,187,0,0,40,0,0
12/24/2017,160,0,0,46,0,0
12/25/2017,175,0,0,47,0,0
12/26/2017,208,0,0,37,0,0
12/27/2017,171,0,0,37,0,0
