date,pm25,aqi
5/7/2017,58,0
5/8/2017,59,0
5/9/2017,62,0
5/10/2017,53,0
5/11/2017,59,0
5/12/2017,79,0
5/13/2017,84,0
5/14/2017,102,0
5/15/2017,117,0
5/16/2017,97,0
5/17/2017,73,0
5/18/2017,69,0
5/19/2017,99,0
5/20/2017,100,0
5/21/2017,89,0
5/22/2017,68,0
5/23/2017,85,0
5/24/2017,74,0
5/25/2017,63,0
5/26/2017,56,0
5/27/2017,55,0
5/28/2017,61,0
5/29/2017,57,0
5/30/2017,62,0
5/31/2017,67,0
6/1/2017,81,0
6/2/2017,81,0
6/7/2017,88,0
6/8/2017,75,0
6/9/2017,59,0
6/10/2017,54,0
6/11/2017,59,0
6/12/2017,56,0
6/13/2017,85,0
6/14/2017,80,0
6/15/2017,77,0
6/16/2017,58,0
6/17/2017,56,0
6/18/2017,60,0
6/19/2017,59,0
6/20/2017,52,0
6/21/2017,55,0
6/22/2017,60,0
6/23/2017,55,0
6/24/2017,53,0
6/25/2017,55,0
6/26/2017,46,0
6/27/2017,52,0
6/28/2017,54,0
6/29/2017,98,0
6/30/2017,99,0
7/1/2017,122,0
7/2/2017,87,0
7/3/2017,68,0
7/4/2017,68,0
7/5/2017,62,0
7/6/2017,78,0
7/7/2017,105,0
7/8/2017,100,0
7/9/2017,76,0
7/10/2017,61,0
7/18/2017,90,0
7/19/2017,73,0
7/20/2017,82,0
7/21/2017,93,0
7/22/2017,108,0
7/23/2017,116,0
7/24/2017,116,0
7/25/2017,106,0
7/26/2017,125,0
7/27/2017,129,0
7/28/2017,91,0
7/29/2017,103,0
7/30/2017,121,0
7/31/2017,105,0
8/1/2017,121,0
8/2/2017,103,0
8/3/2017,99,0
8/4/2017,112,0
8/5/2017,93,0
8/6/2017,100,0
8/7/2017,79,0
8/8/2017,109,0
8/9/2017,113,0
8/10/2017,150,0
8/11/2017,155,0
8/12/2017,157,0
8/13/2017,222,0
8/14/2017,169,0
8/15/2017,163,0
8/16/2017,166,0
8/17/2017,156,0
8/18/2017,111,0
8/19/2017,118,0
8/20/2017,97,0
8/21/2017,82,0
8/22/2017,101,0
8/23/2017,100,0
8/24/2017,129,0
8/25/2017,130,0
8/26/2017,126,0
8/27/2017,110,0
8/28/2017,112,0
8/29/2017,101,0
8/30/2017,86,0
8/31/2017,86,0
9/1/2017,88,0
9/2/2017,88,0
9/3/2017,89,0
9/4/2017,101,0
9/5/2017,111,0
9/6/2017,108,0
9/11/2017,113,0
9/12/2017,70,0
9/13/2017,104,0
9/14/2017,89,0
9/18/2017,96,0
9/19/2017,128,0
9/20/2017,130,0
9/21/2017,122,0
9/22/2017,118,0
9/23/2017,110,0
9/24/2017,87,0
9/25/2017,84,0
9/26/2017,91,0
9/27/2017,96,0
9/28/2017,106,0
9/29/2017,105,0
9/30/2017,103,0
10/1/2017,105,0
10/2/2017,94,0
10/3/2017,91,0
10/4/2017,98,0
10/5/2017,82,0
10/6/2017,107,0
10/7/2017,140,0
10/8/2017,137,0
10/9/2017,68,0
10/10/2017,70,0
10/11/2017,54,0
10/12/2017,54,0
10/13/2017,73,0
10/14/2017,71,0
10/15/2017,76,0
10/16/2017,77,0
10/17/2017,81,0
10/18/2017,80,0
10/19/2017,69,0
10/20/2017,67,0
10/21/2017,75,0
10/22/2017,62,0
10/23/2017,57,0
10/24/2017,52,0
10/25/2017,49,0
10/26/2017,53,0
10/27/2017,71,0
10/28/2017,59,0
10/29/2017,72,0
10/30/2017,64,0
